Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Helicostylis turbinata,,,,25,,,864
Tropical dry forest,Dicotyledons,Malvales,Malvaceae,Heliocarpus americanus,,357,,21,,,641; 642
Tropical dry forest,Dicotyledons,Malpighiales,Euphorbiaceae,Hevea guianensis,,,,25,,,864
Tropical dry forest,Dicotyledons,Malvales,Malvaceae,Hibiscus rosa-sinensis,219.3,,,,,,437; 883
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Hippotis albiflora,,220.3,,15,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Hirtella paniculata,,,,10,,350,300
Tropical dry forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Hirtella pilosissima,,,,12,,,864
Tropical dry forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Hirtella triandra,,126.2,,18.33,,,641; 642
Tropical dry forest,Dicotyledons,Rosales,Ulmaceae,Holoptelea integrifolia,,159.7,,,,34,437; 883; 884
Tropical dry forest,Dicotyledons,Malpighiales,Euphorbiaceae,Hura crepitans,,286.2,,42.43,,796,641; 642; 884
Tropical dry forest,Dicotyledons,Malpighiales,Phyllanthaceae,Hyeronima oblonga,,,,25,,19.95,864; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Hymenaea courbaril,,,,36.74,,3916.991,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga acuminata,,178.8,,17.87,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga alata,,,,30,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga assimilis,,,,40,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga brachyrhachis,,,,18.74,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga cordatoalata,,,,30,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga edulis,,157,,40,,539,641; 642; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga glomeriflora,,,,15,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga gracilior,,,,15,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga heterophylla,,,,20,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga ilta,,,,28,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga leiocalycina,,,,37.42,,556.071,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga marginata,,,,29,,200,864; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga microcoma,,,,30,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga multijuga,,,,23.29,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga multinervis,,,,33,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga oerstediana,,,,24.93,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga poeppigiana,,,,25,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga pruriens,,,,35,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga psittacorum,,,,6,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga rusbyi,,,,35,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga sapindoides,,,,22.73,,350,864; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga sarayacuensis,,,,18,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga sp.,,,,25.15,,1200.297,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga spectabilis,,,,27.19,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga splendens,,,,40,,1970,864; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga stipulacea,,,,15,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga suaveolens,,,,30,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga tessmannii,,,,12,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga umbratica,,,,20,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Inga yacoana,,,,20,,,864
