TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Microtis oligantha L.B.Moore,Microtis oligantha L.B.Moore,Spermatophyta,Monocotyledonae,Orchidaceae,Microtis,oligantha,NA,MICOLI,Not applicable,Low,Geophyte,Geophyte,"Herbaceous perennials, Other petalous monocots","Present in NZ (wild - endemic NZ native, extant)",0.09,Deciduous,Grass leaved - Rolled,,,,No,No,Yes,Not applicable,Locally common,Hermaphrodite,3,,,,No viability data,"100 - 1,000",,,
Pterostylis areolata Petrie,Pterostylis areolata Petrie,Spermatophyta,Monocotyledonae,Orchidaceae,Pterostylis,areolata,NA,PTEARE,Not applicable,,Geophyte,Geophyte,"Herbaceous perennials, Other petalous monocots","Present in NZ (wild - endemic NZ native, extant)",0.12,Deciduous,Broad leaved,60,15,,No,,,,,Hermaphrodite,2,,,,Seed produced,,,,0
Pterostylis graminea Hook.f.,Pterostylis graminea Hook.f.,Spermatophyta,Monocotyledonae,Orchidaceae,Pterostylis,graminea,NA,PTEGRA,Not applicable,,,Geophyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",0.15,,Grass leaved - Flat,100,8,,,,,,,,5,,,2,Seed produced,,,,
Prasophyllum colensoi Hook.f.,Prasophyllum colensoi Hook.f.,Spermatophyta,Dicotyledonae,Orchidaceae,Prasophyllum,colensoi,NA,PRACOL,Not applicable,Low,Geophyte,Geophyte,"Herbaceous perennials, Other petalous monocots","Present in NZ (wild - endemic NZ native, extant)",0.17,Deciduous,Grass leaved - Rolled,250,,1,No,No,Yes,No,Widespread,Hermaphrodite,4,,,,No viability data,"100 - 1,000",,,
Pterostylis montana Hatch,Pterostylis montana Hatch,Spermatophyta,Monocotyledonae,Orchidaceae,Pterostylis,montana,NA,PTEMON,Not applicable,,Geophyte,Geophyte,"Herbaceous perennials, Other petalous monocots","Present in NZ (wild - endemic NZ native, extant)",0.17,,Broad leaved,140,10,,,,,,,Hermaphrodite,2,,,,Seed produced,,,,
Pterostylis australis Hook.f.,Pterostylis australis Hook.f.,Spermatophyta,Monocotyledonae,Orchidaceae,Pterostylis,australis,NA,PTEAUS,Not applicable,,Geophyte,Geophyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",0.18,,Grass leaved - Flat,95,13,,,,,,,,3,,,2,Seed produced,,,,
Oxalis latifolia Kunth,Oxalis latifolia Kunth,Spermatophyta,Dicotyledonae,Oxalidaceae,Oxalis,latifolia,NA,OXALAT,1900 - 1940,Low,Geophyte,Geophyte,"Herbaceous perennials, Oxaliform perennials",Present in NZ (wild - naturalised exotic),0.2,Semi-evergreen,Broad leaved,331,49,,No,,No data available,No,Widespread,No data available,8,,,,No data available,No data available,,,
Thelymitra longifolia J.R.Forst. & G.Forst.,Thelymitra longifolia J.R.Forst. & G.Forst.,Spermatophyta,Monocotyledonae,Orchidaceae,Thelymitra,longifolia,NA,THELON,Not applicable,,,Geophyte,<null>,"Present in NZ (wild - non endemic NZ native, extant)",0.28,,,,15,,No,,,,Widespread,,5,,,2,Seed produced,,,,0
Microtis unifolia (G.Forst.) Rchb.f.,Microtis unifolia (G.Forst.) Rchb.f.,Spermatophyta,Monocotyledonae,Orchidaceae,Microtis,unifolia,NA,MICUNI,Not applicable,Low,Geophyte,Geophyte,"Herbaceous perennials, Other petalous monocots","Present in NZ (wild - endemic NZ native, extant)",0.55,Deciduous,Grass leaved - Rolled,600,,,No,No,Yes,Not applicable,Widespread,Hermaphrodite,5,,,,Medium viability,"100 - 1,000",,,0
Cirsium arvense (L.) Scop.,Cirsium arvense (L.) Scop.,Spermatophyta,Dicotyledonae,Asteraceae,Cirsium,arvense,NA,CIRARV,1870 - 1900,Low,Geophyte,Geophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.7,Evergreen,Broad leaved,95,30,,Yes,No,No,No,Widespread,Dioecious,3,3,1,5,Medium viability,"1,000 - 10,000",3.5,1.3,2
Thelymitra hatchii L.B.Moore,Thelymitra hatchii L.B.Moore,Spermatophyta,Monocotyledonae,Orchidaceae,Thelymitra,hatchii,NA,THEHAT,Not applicable,,Geophyte,Geophyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Grass leaved - Flat,,11,,,,,,Widespread,Hermaphrodite,3,,,2,Seed produced,,,,
Nasturtium microphyllum Boenn. ex Rchb.,Rorippa microphylla (Rchb.) Hylander,Spermatophyta,Dicotyledonae,Brassicaceae,Nasturtium,microphyllum,NA,NASMIC,1940 - 1970,Moderate,Helophyte,Helophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.5,Deciduous,Broad leaved,250,50,,No,No,Yes,No data available,Widespread,Hermaphrodite,6,30,2,8,High viability,10 - 100,1.1,,0
Nasturtium officinale R.Br.,Nasturtium officinale R.Br.,Spermatophyta,Dicotyledonae,Brassicaceae,Nasturtium,officinale,NA,NASOFF,1870 - 1900,,,Helophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,60,30,,,,,,Widespread,,4,14,2,4,Seed produced,,1,,
Epilobium nerteroides A.Cunn.,Epilobium nerteroides A.Cunn.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,nerteroides,NA,EPINER,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.02,Evergreen,Broad leaved,7,5,,No,No,No data available,No,Scattered,Hermaphrodite,4,31,,4,No viability data,10 - 100,0.8,0.25,0
Isolepis marginata (Thunb.) A.Dietr.,Isolepis marginata (Thunb.) A.Dietr.,Spermatophyta,Monocotyledonae,Cyperaceae,Isolepis,marginata,NA,ISOMAR,No data available,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.04,Evergreen,Grass leaved - Rolled,,,,No,No,,No,Widespread,Hermaphrodite,,,,,No viability data,"100 - 1,000",1,,
Dichondra repens J.R.Forst. & G.Forst.,Dichondra repens J.R.Forst. & G.Forst.,Spermatophyta,Dicotyledonae,Convolvulaceae,Dichondra,repens,NA,DICREP,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - non endemic NZ native, extant)",0.05,Evergreen,Broad leaved,50,20,,No,No,No data available,No,Widespread,,5,2,,5,Seed produced,"100 - 1,000",2,1.7,3
Viola filicaulis Hook.f.,Viola filicaulis Hook.f.,Spermatophyta,Dicotyledonae,Violaceae,Viola,filicaulis,NA,VIOFIL,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.05,Evergreen,Broad leaved,15,15,,No,No data available,No data available,No,Widespread,Hermaphrodite,3,9,,3,No viability data,10 - 100,1.25,,0
Ophioglossum coriaceum A.Cunn.,Ophioglossum coriaceum A.Cunn.,Pteridophyta,Psilotopsida,Ophioglossaceae,Ophioglossum,coriaceum,NA,OPHCOR,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",0.06,Deciduous,Broad leaved,45,9,,No,No,,,Scattered,Not applicable,,,,,No viability data,"100 - 1,000",,,
Solenogyne gunnii (Hook.f.) Cabrera,Solenogyne gunnii (Hook.f.) Cabrera,Spermatophyta,Dicotyledonae,Asteraceae,Solenogyne,gunnii,NA,SOLGUN,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.06,Evergreen,Broad leaved,30,14,,No,No,,No,Locally common,,,2,,,Seed produced,,2.2,,
Juncus novae-zelandiae Hook.f.,Juncus novae-zelandiae Hook.f.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,novae-zelandiae,NA,JUNNOV,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - endemic NZ native, extant)",0.07,Evergreen,Grass leaved - Flat,75,1,,No,No,No data available,No,Scattered,Hermaphrodite,4,3,,4,No viability data,10 - 100,,,0
Lagenifera strangulata Colenso,Lagenifera strangulata Colenso,Spermatophyta,Dicotyledonae,Asteraceae,Lagenifera,strangulata,NA,LAGSTR,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",0.08,,Broad leaved,11,9,,,,,,,,5,,,,Seed produced,,2.8,,
Stellaria gracilenta Hook.f.,Stellaria gracilenta Hook.f.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Stellaria,gracilenta,NA,STEGRA,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.08,Semi-evergreen,Broad leaved,5,1,,No,No,No data available,No,Widespread,,5,,,3,Seed produced,"100 - 1,000",0.9,,0
Blechnum penna-marina (Poir.) Kuhn,Blechnum penna-marina (Poir.) Kuhn,Pteridophyta,Pteridopsida,Blechnaceae,Blechnum,penna-marina,(Poir.)-Kuhn,BLEPEN,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,Ferns,"Present in NZ (wild - non endemic NZ native, extant)",0.1,Evergreen,Broad leaved,240,16,,No,No,,No,Widespread,Not applicable,,,,,No viability data,"> 10,000",,,
Eleocharis acuta R.Br.,Eleocharis acuta R.Br.,Spermatophyta,Monocotyledonae,Cyperaceae,Eleocharis,acuta,NA,ELEACU,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",0.1,Evergreen,Photosynthetic stems,,,,No,No,Yes,No,Widespread,Hermaphrodite,,1,,,No viability data,10 - 100,1.5,1,0
