TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Mimulus moschatus Lindl.,Mimulus moschatus Lindl.,Spermatophyta,Dicotyledonae,Ericaceae,Mimulus,moschatus,NA,MIMMOS,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.1,Semi-evergreen,Broad leaved,20,17,,No,Yes,Yes,No,Locally common,Hermaphrodite,12,5,,12,No viability data,"1,000 - 10,000",,,
Raoulia glabra Hook.f.,Raoulia glabra Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Raoulia,glabra,NA,RAOGLA,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",0.1,Evergreen,Broad leaved,4,1,,No,No,No,No,Locally common,Hermaphrodite,,,,,Seed produced,"1,000 - 10,000",0.9,,0
Sagina procumbens L.,Sagina procumbens L.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Sagina,procumbens,NA,SAGPRO,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.1,Evergreen,Broad leaved,8,1,,No,No,No data available,No,Widespread,Hermaphrodite,6,,,6,No viability data,"100 - 1,000",0.4,,0
Viola cunninghamii Hook.f.,Viola cunninghamii Hook.f.,Spermatophyta,Dicotyledonae,Violaceae,Viola,cunninghamii,NA,VIOCUN,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - non endemic NZ native, extant)",0.1,Evergreen,Broad leaved,20,17,,No,No data available,No data available,No data available,Widespread,Hermaphrodite,5,8,,4,No viability data,10 - 100,1.8,,0
Bellis perennis L.,Bellis perennis L.,Spermatophyta,Dicotyledonae,Asteraceae,Bellis,perennis,NA,BELPER,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.12,Evergreen,Broad leaved,40,14,,No,No,Yes,No,Widespread,Hermaphrodite,7,1,1,,Medium viability,"1,000 - 10,000",1.2,,0
Carex flaviformis Nelmes,Carex flaviformis Nelmes,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,flaviformis,NA,CARFLA,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - non endemic NZ native, extant)",0.12,Evergreen,Grass leaved - Flat,150,1,,No,No,No,Not applicable,Scattered,Monoecious,,,,,No viability data,"100 - 1,000",2,,
Galium propinquum A.Cunn.,Galium propinquum A.Cunn.,Spermatophyta,Dicotyledonae,Rubiaceae,Galium,propinquum,NA,GALPRO,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - non endemic NZ native, extant)",0.15,Evergreen,Broad leaved,4,2,,No,No,,No,Widespread,Hermaphrodite,6,2,,6,No viability data,10 - 100,1.1,,0
Linum catharticum L.,Linum catharticum L.,Spermatophyta,Dicotyledonae,Linaceae,Linum,catharticum,NA,LINCAT,1870 - 1900,Moderate,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - summer",Present in NZ (wild - naturalised exotic),0.15,Evergreen,Broad leaved,8,,,No,No,,,Locally common,Hermaphrodite,7,3,3,,No viability data,"100 - 1,000",1.4,,0
Ranunculus glabrifolius Hook.,Ranunculus glabrifolius Hook.,Spermatophyta,Dicotyledonae,Ranunculaceae,Ranunculus,glabrifolius,NA,RANGLA,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - non endemic NZ native, extant)",0.15,Evergreen,Broad leaved,50,50,,No,No data available,No data available,No data available,Scattered,Hermaphrodite,,,,,No viability data,10 - 100,2,,
Isolepis habra (Edgar) Soják,Isolepis habra (Edgar) Soják,Spermatophyta,Monocotyledonae,Cyperaceae,Isolepis,habra,NA,ISOHAB,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - endemic NZ native, extant)",0.16,Evergreen,Grass leaved - Flat,,5,,No,No,,No,Scattered,Hermaphrodite,,,,,No viability data,10 - 100,1.5,0.5,
Rumex acetosella L.,Rumex acetosella L.,Spermatophyta,Dicotyledonae,Polygonaceae,Rumex,acetosella,NA,RUMACE,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.16,Evergreen,Broad leaved,32,11,,No,Yes,Yes,No,Widespread,Dioecious,12,2,1,,No viability data,"100 - 1,000",1.6,,0
Poa colensoi Hook.f.,Poa colensoi Hook.f.,Spermatophyta,Monocotyledonae,Poaceae,Poa,colensoi,NA,POACOL,Not applicable,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.17,,Grass leaved - Rolled,100,1,,,,,,Widespread,,4,,,,Seed produced,,1.5,0.5,0
Prunella vulgaris L.,Prunella vulgaris L.,Spermatophyta,Dicotyledonae,Lamiaceae,Prunella,vulgaris,NA,PRUVUL,1840 - 1870,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.17,Evergreen,Broad leaved,60,15,,No,No,Yes,No,Widespread,Hermaphrodite,6,2,,12,No viability data,"100 - 1,000",2,,0
Carex breviculmis R.Br.,Carex breviculmis R.Br.,Spermatophyta,Dicotyledonae,Cyperaceae,Carex,breviculmis,NA,CARBRE,Not applicable,,Hemicryptophyte,Hemicryptophyte,<null>,"Present in NZ (wild - non endemic NZ native, extant)",0.18,,Grass leaved,,,,,,,,,,,,,,Seed produced,,,,0
Cotula coronopifolia L.,Cotula coronopifolia L.,Spermatophyta,Dicotyledonae,Asteraceae,Cotula,coronopifolia,NA,COTCOR,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - non endemic NZ native, extant)",0.19,Evergreen,Broad leaved,48,,,No,No,Yes,No,Widespread,Hermaphrodite,12,2,1,,No viability data,"100 - 1,000",1.05,0.55,
Carex inversa R.Br.,Carex inversa R.Br.,Spermatophyta,Monocotyledonae,Cyperaceae,Carex,inversa,NA,CARINV,Not applicable,No data available,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - non endemic NZ native, extant)",0.2,Evergreen,Grass leaved - Flat,,1,,No,No data available,No data available,Not applicable,Scattered,Hermaphrodite,,,,,No viability data,10 - 100,2,,
Eschscholzia californica Cham.,Eschscholzia californica Cham.,Spermatophyta,Dicotyledonae,Papaveraceae,Eschscholzia,californica,NA,ESCCAL,1870 - 1900,Low,,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.2,Evergreen,Broad leaved,100,100,,No,No,,No,Widespread,,5,58,4,6,No viability data,"1,000 - 10,000",,,
Juncus filicaulis Buchenau,Juncus filicaulis Buchenau,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,filicaulis,NA,JUNFIL,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.2,Evergreen,Photosynthetic stems,220,1,,No,No,No data available,No,Scattered,Hermaphrodite,4,2,,3,No viability data,"100 - 1,000",,,0
Ranunculus foliosus Kirk,Ranunculus foliosus Kirk,Spermatophyta,Dicotyledonae,Ranunculaceae,Ranunculus,foliosus,NA,RANFOL,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",0.2,Evergreen,Broad leaved,20,20,,No,No data available,No data available,No data available,Scattered,Hermaphrodite,4,2,,5,No viability data,No data available,2,,1
Veronica serpyllifolia L.,Veronica serpyllifolia L.,Spermatophyta,Dicotyledonae,Ericaceae,Veronica,serpyllifolia,NA,VERSER,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.2,Evergreen,Broad leaved,12,10,,No,No,,No,Widespread,Hermaphrodite,12,,4,12,No viability data,10 - 100,1,,0
Epilobium insulare Hausskn.,Epilobium insulare Hausskn.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,insulare,NA,EPIINS,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.22,No data available,Broad leaved,15,9,,No,No,,,Widespread,Hermaphrodite,5,40,,5,No viability data,10 - 100,1,,0
Ranunculus multiscapus Hook.f.,Ranunculus multiscapus Hook.f.,Spermatophyta,Dicotyledonae,Ranunculaceae,Ranunculus,multiscapus,NA,RANMUL,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,Herbaceous perennials,"Present in NZ (wild - endemic NZ native, extant)",0.22,,Broad leaved,15,13,,,,,,,,,3,,,Seed produced,,2.5,,0
Centaurium erythraea Rafn.,Centaurium erythraea Rafn.,Spermatophyta,Dicotyledonae,Gentianaceae,Centaurium,erythraea,NA,CENERY,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),0.25,Deciduous,Broad leaved,25,14,,No,No,Yes,No,Widespread,Hermaphrodite,6,9,,,No viability data,"> 10,000",0.2,,0
Epilobium rotundifolium G.Forst.,Epilobium rotundifolium G.Forst.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,rotundifolium,NA,EPIROT,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.25,,Broad leaved,14,12,,,,,,,,5,35,,5,Seed produced,,0.8,,0
Luzula picta A.Rich.,Luzula picta A.Rich.,Spermatophyta,Monocotyledonae,Juncaceae,Luzula,picta,A.Rich.,LUZPIC,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",0.25,Evergreen,Grass leaved - Flat,,3,,No,No,No data available,No,Scattered,Hermaphrodite,3,,,3,No viability data,"100 - 1,000",,,
Luzula rufa Edgar,Luzula rufa Edgar,Spermatophyta,Monocotyledonae,Juncaceae,Luzula,rufa,NA,LUZRUF,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.25,Evergreen,Grass leaved - Flat,150,4,,No,No,Yes,No,Locally common,Hermaphrodite,,,,,Seed produced,10 - 100,,,0
Stellaria alsine Grimm,Stellaria alsine Grimm,Spermatophyta,Dicotyledonae,Caryophyllaceae,Stellaria,alsine,NA,STEALS,1870 - 1900,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.25,No data available,Broad leaved,10,4,,No,No,Yes,Not applicable,,Hermaphrodite,5,3,,4,Seed produced,"100 - 1,000",0.5,,
Uncinia rubra Boott,Uncinia rubra Boott,Spermatophyta,Monocotyledonae,Cyperaceae,Uncinia,rubra,NA,UNCRUB,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",0.25,Evergreen,Grass leaved - Flat,200,2,,Yes,No,,No,Scattered,Monoecious,2,,,2,No viability data,10 - 100,,,0
Vittadinia australis A.Rich.,Vittadinia australis A.Rich.,Spermatophyta,Dicotyledonae,Asteraceae,Vittadinia,australis,NA,VITAUS,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",0.25,Semi-evergreen,Broad leaved,15,5,,No,No,Yes,No,,,3,,,3,No viability data,"100 - 1,000",,,0
Plantago lanceolata L.,Plantago lanceolata L.,Spermatophyta,Dicotyledonae,Plantaginaceae,Plantago,lanceolata,NA,PLALAN,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.27,Evergreen,Broad leaved,150,27,1,No,No,Yes,No,Widespread,Hermaphrodite,10,3,3,,High viability,"1,000 - 10,000",2.5,,1
Alopecurus geniculatus L.,Alopecurus geniculatus L.,Spermatophyta,Monocotyledonae,Poaceae,Alopecurus,geniculatus,NA,ALOGEN,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.3,,Grass leaved - Flat,120,2,,No,No,Yes,No,Widespread,Monoecious,,,,,No viability data,"1,000 - 10,000",1.5,0.8,0
Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,Spermatophyta,Monocotyledonae,Poaceae,Anthoxanthum,odoratum,NA,ANTODO,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.3,,Grass leaved - Flat,110,5,,No,No,,No,Widespread,,,,,,Seed produced,,1.6,0.75,0
Glyceria declinata Bréb.,Glyceria declinata Bréb.,Spermatophyta,Monocotyledonae,Poaceae,Glyceria,declinata,NA,GLYDEC,1940 - 1970,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.3,,Grass leaved - Flat,125,5,,No,No,Yes,No,Widespread,Monoecious,3,,,4,No viability data,"1,000 - 10,000",2.3,0.9,0
Hieracium praealtum Gochnat,Hieracium praealtum Gochnat,Spermatophyta,Dicotyledonae,Asteraceae,Hieracium,praealtum,NA,HIEPRA,1900 - 1940,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.3,Evergreen,Broad leaved,90,12,,No,No,Yes,No,Widespread,,5,,,5,Seed produced,,2,0.5,0
Juncus articulatus L.,Juncus articulatus L.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,articulatus,NA,JUNART,1840 - 1870,No data available,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.3,Evergreen,Grass leaved - Rolled,200,,,No,No,,No,Widespread,Hermaphrodite,4,3,,3,No viability data,"100 - 1,000",0.7,,0
Leontodon saxatilis Lamarck,Leontodon taraxacoides (Vill.) Mérat,Spermatophyta,Dicotyledonae,Asteraceae,Leontodon,saxatilis,NA,LEOTAR,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.3,Evergreen,Broad leaved,110,11,,No,No,Yes,No,Widespread,Hermaphrodite,6,4,,4,No viability data,"1,000 - 10,000",4,,0
Lepidium africanum (Burm.f.) DC.,Lepidium africanum (Burm.f.) DC.,Spermatophyta,Dicotyledonae,Brassicaceae,Lepidium,africanum,NA,LEPAFR,1970 - 1990,,,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.3,,Broad leaved,65,15,,,,,,,,9,3,2,9,Seed produced,,1.4,,
Lepidium desvauxii Thell.,Lepidium desvauxii Thell.,Spermatophyta,Dicotyledonae,Brassicaceae,Lepidium,desvauxii,NA,LEPDES,1970 - 1990,,,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.3,,Broad leaved,90,20,,,,,,,,6,3,2,6,Seed produced,,1.5,,
Lepidium pseudotasmanicum Thell.,Lepidium pseudotasmanicum Thell.,Spermatophyta,Dicotyledonae,Brassicaceae,Lepidium,pseudotasmanicum,NA,LEPPSE,1970 - 1990,,,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.3,,Broad leaved,13,2,,,,,,,,7,3,2,7,Seed produced,,1.4,,
Myosotis arvensis (L.) Hill,Myosotis arvensis (L.) Hill,Spermatophyta,Dicotyledonae,Boraginaceae,Myosotis,arvensis,NA,MYOARV,1870 - 1900,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.3,Deciduous,Broad leaved,80,20,,No,No,Yes,No,Widespread,Hermaphrodite,8,2,1,,No viability data,"100 - 1,000",1.8,,0
Poa imbecilla Spreng.,Poa imbecilla Spreng.,Spermatophyta,Monocotyledonae,Poaceae,Poa,imbecilla,NA,POAIMB,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.3,,Grass leaved - Folded,90,1,,,,,,Widespread,,,,,,Seed produced,,1,0.3,
Poa pratensis L.,Poa pratensis L.,Spermatophyta,Monocotyledonae,Poaceae,Poa,pratensis,NA,POAPRA,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.3,,Grass leaved - Flat,150,3,,No,No,Yes,No,Widespread,Monoecious,5,,,,Seed produced,"100 - 1,000",1.5,0.5,0
Ranunculus reflexus Garn.-Jones,Ranunculus reflexus Garn.-Jones,Spermatophyta,Dicotyledonae,Ranunculaceae,Ranunculus,reflexus,NA,RANREF,Not applicable,High,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots","Present in NZ (wild - endemic NZ native, extant)",0.3,Evergreen,Broad leaved,50,50,,No,No data available,No data available,No data available,Widespread,Hermaphrodite,,,,,Medium viability,10 - 100,1.8,,0
Uncinia scabra Boott,Uncinia scabra Boott,Spermatophyta,Monocotyledonae,Cyperaceae,Uncinia,scabra,NA,UNCSCA,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - endemic NZ native, extant)",0.3,,Grass leaved - Flat,400,3,,Yes,,,,,,,5,1,,Seed produced,,,,
Uncinia uncinata (L.f.) Kük.,Uncinia uncinata (L.f.) Kük.,Spermatophyta,Monocotyledonae,Cyperaceae,Uncinia,uncinata,NA,UNCUNC,Not applicable,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge","Present in NZ (wild - non endemic NZ native, extant)",0.3,Evergreen,Grass leaved - Flat,500,3,,Yes,No,No,No,Locally common,Monoecious,,,,,No viability data,"100 - 1,000",,,0
Verbascum virgatum Stokes,Verbascum virgatum Stokes,Spermatophyta,Dicotyledonae,Ericaceae,Verbascum,virgatum,NA,VERVIR,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Annuals, Form - erect, Phenology - long-flowering/ow",Present in NZ (wild - naturalised exotic),0.3,Deciduous,Broad leaved,300,150,,No,No,Yes,No,Widespread,Hermaphrodite,7,8,8,,No viability data,,,,
Hypochaeris radicata L.,Hypochaeris radicata L.,Spermatophyta,Dicotyledonae,Asteraceae,Hypochaeris,radicata,NA,HYPRAD,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.32,Evergreen,Broad leaved,120,24,,No,No,Yes,No,Widespread,,5,12,,5,No viability data,"1,000 - 10,000",,,0
Lolium multiflorum Lam.,Lolium multiflorum Lam.,Spermatophyta,Monocotyledonae,Poaceae,Lolium,multiflorum,NA,LOLMUL,1870 - 1900,,,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.35,,Grass leaved - Folded,190,6,,,,,,,,,,,,,,3,1,2
Mimulus guttatus DC.,Mimulus guttatus DC.,Spermatophyta,Dicotyledonae,Ericaceae,Mimulus,guttatus,NA,MIMGUT,1870 - 1900,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.35,Evergreen,Broad leaved,75,48,,No,No,Yes,No,Widespread,Hermaphrodite,5,10,,5,No viability data,"100 - 1,000",0.6,,0
Lotus pedunculatus Cav.,Lotus pedunculatus Cav.,Spermatophyta,Dicotyledonae,Fabaceae,Lotus,pedunculatus,NA,LOTPED,1840 - 1870,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),0.38,Deciduous,Broad leaved,15,,,No,No,Yes,Yes,Widespread,Hermaphrodite,3,25,2,3,Medium viability,"100 - 1,000",1.1,,0
Juncus planifolius R.Br.,Juncus planifolius R.Br.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,planifolius,NA,JUNPLA,Not applicable,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials","Present in NZ (wild - non endemic NZ native, extant)",0.4,Evergreen,Grass leaved - Flat,70,8,,No,No,No data available,No,Widespread,Hermaphrodite,4,2,,3,No viability data,"100 - 1,000",,,0
Juncus tenuis Willd.,Juncus tenuis Willd.,Spermatophyta,Monocotyledonae,Juncaceae,Juncus,tenuis,NA,JUNTEN,1900 - 1940,Moderate,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Junciform perennials",Present in NZ (wild - naturalised exotic),0.4,Evergreen,Grass leaved,200,,,No,No data available,No data available,No,Widespread,Hermaphrodite,4,3,,3,No viability data,"100 - 1,000",0.4,,0
Lepidium draba L.,Cardaria draba (L.) Desv.,Spermatophyta,Dicotyledonae,Brassicaceae,Lepidium,draba,NA,LEPDRA,1900 - 1940,,,Hemicryptophyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.4,,Broad leaved,45,15,,,,,,Widespread,,3,5,4,3,Seed produced,,2,,
Lolium perenne L.,Lolium perenne L.,Spermatophyta,Monocotyledonae,Poaceae,Lolium,perenne,NA,LOLPER,1840 - 1870,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.4,,Grass leaved - Flat,130,3,,,No,Yes,,Widespread,,,,,,Seed produced,,3,1.1,1
Luzula congesta (Thuill.) Lej.,Luzula congesta (Thuill.) Lej.,Spermatophyta,Monocotyledonae,Juncaceae,Luzula,congesta,NA,LUZCON,1940 - 1970,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-grasslike sedge",Present in NZ (wild - naturalised exotic),0.4,Evergreen,Grass leaved - Flat,,5,,No,No,No data available,No,Scattered,Hermaphrodite,3,,,3,No viability data,"100 - 1,000",,,
Paspalum dilatatum Poir.,Paspalum dilatatum Poir.,Spermatophyta,Monocotyledonae,Poaceae,Paspalum,dilatatum,NA,PASDIL,1900 - 1940,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass",Present in NZ (wild - naturalised exotic),0.4,,Grass leaved - Flat,150,7,,No,No,Yes,,Widespread,,,,,,No viability data,,1.5,,0
Plantago major L.,Plantago major L.,Spermatophyta,Dicotyledonae,Plantaginaceae,Plantago,major,NA,PLAMAJ,Pre-1840,Low,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.4,Semi-evergreen,Broad leaved,315,160,0.12,No,No,Yes,No,Widespread,Hermaphrodite,10,3,,,High viability,"> 10,000",1.5,,0
Rumex pulcher L.,Rumex pulcher L.,Spermatophyta,Dicotyledonae,Polygonaceae,Rumex,pulcher,NA,RUMPUL,1870 - 1900,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),0.4,Evergreen,Broad leaved,230,45,,,,,,,Hermaphrodite,6,2,,,No viability data,"1,000 - 10,000",2.5,,1
Trisetum lepidum Edgar & A.P.Druce,Trisetum lepidum Edgar & A.P.Druce,Spermatophyta,Monocotyledonae,Poaceae,Trisetum,lepidum,NA,TRISET,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.4,,Grass leaved - Flat,95,2,,,,,,Widespread,,5,,,,Seed produced,,2.5,0.55,
Festuca actae Connor,Festuca actae Connor,Spermatophyta,Monocotyledonae,Poaceae,Festuca,actae,NA,FESACT,Not applicable,,Hemicryptophyte,Hemicryptophyte,"Herbaceous perennials, Graminiform-tufted grass","Present in NZ (wild - endemic NZ native, extant)",0.42,,Grass leaved - Rolled,400,1,,,,,,Scattered,,,,,,Seed produced,,3.9,,
