obs,spcode,name,date,rep,subrep,subpicture,type,nb.leaves,nb.leaves.num,photo#,date measured,total area,leaf area,dry mass,SLA,comment
41,SILMAR,Silybum marianum,30-Nov,5,,1,leaves,   1/4  ,0.2500,368,3-Dec,,,,,
41,SILMAR,Silybum marianum,30-Nov,5,,2,leaves,   1/4  ,0.2500,366,3-Dec,,,,,
41,SILMAR,Silybum marianum,30-Nov,5,,3,leaves,   1/4  ,0.2500,370,3-Dec,,,,,
41,SILMAR,Silybum marianum,30-Nov,5,,4,leaves,   1/4  ,0.2500,371,3-Dec,,,,,
42,CONVER,Convolvulus waitaha,30-Nov,1,,,leaves,6        ,6.0000,306,2-Dec,,,,,
44,CONVER,Convolvulus waitaha,30-Nov,3,,,leaves,4        ,4.0000,307,2-Dec,,,,,
45,CONVER,Convolvulus waitaha,30-Nov,4,,,leaves,6        ,6.0000,309,2-Dec,,,,,
46,CONVER,Convolvulus waitaha,30-Nov,5,,,leaves,5        ,5.0000,310,2-Dec,,,,,
49,CONVER,Convolvulus waitaha,30-Nov,8,,,leaves,4        ,4.0000,311,2-Dec,,,,,used to be picture #312
50,ACANOV,Acaena novae-zelandiae,30-Nov,1,,,leaves,2        ,2.0000,328,3-Dec,,,,,
51,ACANOV,Acaena novae-zelandiae,30-Nov,2,,,leaves,2        ,2.0000,373,3-Dec,,,,,
52,ACANOV,Acaena novae-zelandiae,30-Nov,3,,,leaves,2        ,2.0000,332,3-Dec,,,,,
53,ACANOV,Acaena novae-zelandiae,30-Nov,4,,,leaves,2        ,2.0000,335,3-Dec,,,,,
54,ACAAGN,Acaena agnipila,30-Nov,1,,,leaves,3        ,3.0000,324,3-Dec,,,,,
55,CARAUS,Carmichaelia australis,30-Nov,1,a,,leaves,16        ,16.0000,374,3-Dec,,,,,
55,CARAUS,Carmichaelia australis,30-Nov,1,b,,stems,,0.0000,376,3-Dec,,,,,
56,ACAAGN,Acaena agnipila,4-Dec,1,,,leaves,2        ,2.0000,418,8-Dec,,,,,
57,ACAAGN,Acaena agnipila,4-Dec,2,,,leaves,1        ,1.0000,419,8-Dec,,,,,
58,ACAAGN,Acaena agnipila,4-Dec,3,,,leaves,2        ,2.0000,420,8-Dec,,,,,
59,ACAAGN,Acaena agnipila,4-Dec,4,,,leaves,2        ,2.0000,423,8-Dec,,,,,
64,POLVES,Polystichum vestitum,4-Dec,1,,,,,NA,,,,,,,
65,POLVES,Polystichum vestitum,4-Dec,2,,,,,NA,,,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,a,1,leaves,   1/11 ,0.0909,428,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,a,2,leaves,   1/11 ,0.0909,431,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,a,3,leaves,   1/11 ,0.0909,433,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,b,1,leaves,   1/11 ,0.0909,435,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,b,2,leaves,   1/11 ,0.0909,436,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,b,3,leaves,   1/11 ,0.0909,437,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,b,4,leaves,   1/11 ,0.0909,438,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,c,1,leaves,   1/11 ,0.0909,439,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,c,2,leaves,   1/11 ,0.0909,440,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,d,3,stems,   1/11 ,0.0909,441,8-Dec,,,,,
66,POLVES,Polystichum vestitum,4-Dec,3,d,1,stems,   1/11 ,0.0909,442,8-Dec,,,,,
67,POLVES,Polystichum vestitum,4-Dec,4,,,,,NA,,lost,,,,,
68,POLVES,Polystichum vestitum,4-Dec,5,,,,,NA,,lost,,,,,
69,HELBEL,Anaphalioides bellidioides,4-Dec,1,,,leaves,23        ,23.0000,397,8-Dec,,,,,
70,HELBEL,Anaphalioides bellidioides,4-Dec,2,,,leaves,19        ,19.0000,391,8-Dec,1647.897,86.73,16.4,100.4815244,
71,HELBEL,Anaphalioides bellidioides,4-Dec,3,a,,leaves,24        ,24.0000,392,8-Dec,1913.786,79.74,21,91.13266667,
