"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"COPPRO",19,16,36.5836569867022,0.13074156174498,-0.127160885103297,0.0468749100889493,19,12,21.7858935149056,42.0860533262599,0.482348859228572,128.479523309528,121.448843936454,117.586919451986,118.800813352968,119.237953050111,120.179363498173,9.03067937307353,5.86192448446849,0.78610609901806,1.56286030285683,3.05858955193742,0.00095171003169996,0.0112905479870754,0.00909805617966025,0.0436502022185588,0.141399256884031,0.275455922098944,0.0374626487682329,0.0428283629491246,1.16642306638341
"CRASIE",55,52,115.977895690152,0.0355755308815214,-0.113578288211945,0.0464446029519501,55,48,77.6895809812585,120.256069193433,0.353965404803862,340.975151434496,315.366787210984,308.796920749004,308.134483437173,308.010956471584,310.408663222321,27.6083642235118,8.56986646197957,2.66243731183174,2.12352696558885,1.60229324926287,0.00107299278757873,0.000175365061202438,0.0111249611305842,0.00100939390895013,-0.108949263885335,0.161741912247192,0.0113125989692412,0.185542159778471,0.889467037485604
"CRECAP",422,418,1977.92184223463,0.00569775125561066,0.121062137272249,0.00077961271174144,422,414,1481.80897476276,1989.25612884046,0.255093925171664,3312.52930034734,3079.69053379246,2953.16449526412,2861.56968343447,2839.78054719722,2819.08214626963,234.838766554881,128.526038528337,93.5948118296503,23.7891362372484,26.6984009275877,0.00189172212951805,2.74169536818792e-53,0.021958514471058,6.25058257422249e-29,-0.330338831907594,1.85006122997562e-25,0.0277284275287532,1.03425514986379e-08,1.02039116816676
"CRIMUR",91,85,234.964129438919,0.142853444161825,-7.16936716490546,0.00444408878284571,91,81,189.787376734232,274.123634795633,0.307657740363309,504.833200843786,496.604636147227,493.188484646357,492.553135730411,453.999942818716,438.496942782385,10.2285646965589,5.41615150087006,2.63534891594557,40.5531929116956,25.5030000363312,0.000617777583693084,0.128336099780001,0.000598753283043428,0.921051515255644,0.11211925040754,0.252219485469798,0.0636308984459129,1.0879361819218e-08,0.000704573193041961
"CYNCRI",439,433,1956.2058965058,0.0304686055405398,-0.263873422237834,5.48300852542033e-06,439,429,1465.09483521487,2017.68184886518,0.273872223195697,3344.93740171311,3110.12861347507,2976.49241015296,2884.7893136109,2844.92210447002,2810.3503880628,236.808788238038,135.636203322118,93.7030965420563,41.8672091408807,44.5717164072175,0.00176691937377453,1.15463935697519e-46,0.0170678734315138,1.35141716909282e-20,-0.349577860212948,1.33375401521997e-27,0.029105800162553,4.75672188978523e-09,0.762201275007007
"CYNECH",58,53,119.051805616754,0.128747542525534,0.393875593983169,0.000381357799398355,58,49,108.171176815242,136.644441683245,0.208374848748014,335.621935240758,334.987627798592,335.477806850494,337.034690878421,331.376705248862,323.148670372755,2.63430744216578,1.50982094809876,0.443115972073059,7.65798562955861,16.2280348761067,0.000445264733501599,0.482828203215861,0.0073599137634948,0.168329322664878,-0.017339261097083,0.863648497778535,0.0325936455493519,0.0149153945770608,1.43090428944975
"DACGLO",506,500,2129.85430003238,0.0651781070579283,-0.333932791275786,8.51529302701071e-08,506,496,1622.02525069099,2278.35303827696,0.288071153398739,3863.47653409224,3615.17086747204,3401.71016685908,3318.90909748534,3297.43942750485,3225.14874650628,250.3056666202,215.460700612966,84.8010693737378,23.469669980494,82.2906809985666,0.00140293061105741,2.30102626080583e-40,0.0208700210936823,5.42927945762458e-44,-0.248252504947442,4.6626761254168e-18,0.0164462662023093,0.000117673748714746,0.744693954981119
"DICREP",122,118,186.64035488434,0.00490646203647968,-0.0158835444249037,0.514911490088441,122,114,157.250156962048,187.560613916058,0.161603528167032,664.155460782547,657.780193531196,643.08974657964,642.10910080876,642.606149136457,647.845003828537,8.3752672513501,16.6904469515562,2.98064577088067,1.50295167230257,0.761145307919975,0.000566649308937009,0.00382505786407432,0.0137423019152442,0.000178751528249952,-0.105778148307825,0.0672076414813491,0.0086232965529751,0.21706127110066,1.01366895786318
"DIGPUR",78,75,305.594210281362,0.0133070046999472,0.137572846774815,0.0379739446146811,78,71,198.106533694185,309.7155971888,0.36035984144053,605.015957608875,555.94079187386,529.773609488167,513.653932853533,508.632967363055,505.40689411426,51.0751657350151,28.1671823856929,18.1196766346343,7.02096549047857,7.22607324879408,0.00146497451300646,3.84407097445662e-06,0.0135764623552373,1.40695572329163e-06,-0.351743884952777,2.50264983217902e-07,0.0177053902431932,0.0923764504201359,1.2722842645046
"ELYREC",258,253,846.77947339975,0.00788027034396253,-0.0177711280136217,0.137785057243956,258,249,578.277632484839,853.505326109505,0.322467458849055,1787.96319024309,1610.51335547572,1543.72495420994,1538.54974208138,1525.44138231585,1528.73549661842,179.449834767364,68.7884012657795,7.17521212856263,15.1083597655273,4.7058856974329,0.0016242145040009,1.39088870264245e-34,0.0136125936646228,7.82169958047195e-14,-0.135960842019458,0.000247921626023307,0.0199348835877139,0.000126451729657561,1.02423181518385
